time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.8815383492206895e-08,-3.492647742670892e-08,10.006499025985562,6.28314320305115,2.0352980897975215e-05,0.0,-1.8511680825799997e-06,-3.6296647643057647e-06,0.2166174166456024,-0.002143628244901861,0.0010092240217784534,0.0,471.63135402686294,471.70927372292283,473.322650268613,473.1576946362935
0.12000000000000001,-7.732853674504668e-07,-1.8564214763497298e-06,10.02552510728553,6.282961451469312,6.283032194386056,0.0,-1.837739468795888e-05,-7.516093827367992e-05,0.41753283831993854,-0.004862027632195739,-0.012131233927224493,0.0,468.5570555826054,467.534597060588,467.8555536912148,467.64395094321435
0.18,3.3506819151371716e-06,-1.212786692402351e-05,10.053381692291461,6.282379414733269,6.282841035755249,0.0,0.00019796873299572648,-0.00030894759813988426,0.5109822533301402,-0.021756189934948877,0.010454317483559995,0.0,434.2085999953991,436.0989878023988,435.58425306920003,434.16946197405844
0.23999999999999996,1.9920743830941566e-05,-5.180985330106377e-05,10.086905571975077,6.281399897068297,0.0002693916632123816,0.0,0.0002914782140416038,-0.0011277228096970662,0.6064339383962074,-0.007223962401664869,0.009770624295891015,0.0,435.3023772933848,435.24504807631814,435.60586942061275,436.81928463906667
0.3,2.8377629183845757e-05,-0.00016325381343690017,10.129048129338141,6.280801371332327,0.0010246773992852454,0.0,-8.767774831466172e-05,-0.002645738261044893,0.7982032597690379,-0.016141003843927835,0.017699115303631267,0.0,464.27533985024445,464.8967744020544,466.7891415912032,466.0929893354523
0.36000000000000004,-7.610940757711159e-06,-0.0003854906067678881,10.184068623666775,6.279873854023311,0.002430265311071267,0.0,-0.0012650264633241827,-0.004877622796652651,1.0356279750559978,-0.014127690668133854,0.03294349885253639,0.0,478.5955432815329,479.75427495075087,479.1386890869282,479.2918248056156
0.4200000000000001,-0.00014324899485478146,-0.0007505679721642829,10.249455756258513,6.279132281251691,0.005280642459393192,0.0,-0.0035150296446353974,-0.007373060953786373,1.1438396041217387,-0.009039103009730664,0.06697422726913742,0.0,439.14050939077083,441.9552452055686,440.41992119539776,440.8406611749335
0.48000000000000015,-0.0004887515061383787,-0.001285679598352333,10.322785398292837,6.278722885446658,0.009038143216826278,0.0,-0.008431837244253065,-0.01051544914722827,1.3003136848615613,-0.002723806533934208,0.05208331112111519,0.0,456.28785093291674,455.1003299600193,455.6154238675535,456.1201077775244
0.5400000000000001,-0.00119143256627718,-0.002008482321818039,10.403586386906245,6.278495393747473,0.012364128571750399,0.0,-0.01531602494623763,-0.013597108522502552,1.392940596202285,-0.0060175011896599385,0.06140589732103403,0.0,435.12298963750305,435.9047870928914,437.1404681733532,436.86601885624094
0.6000000000000002,-0.0023667198007757224,-0.0029178383069017365,10.48914829999712,6.277921301811261,0.016092639737989245,0.0,-0.02421863042774939,-0.01675856366665992,1.459035654425992,-0.01783298263170262,0.06357392381778598,0.0,428.6843490965946,428.87145103461125,427.67566166401565,426.66830531989865
0.6600000000000003,-0.004152782898247981,-0.004031468824366538,10.578848293333536,6.276395180724981,0.019940401417477993,0.0,-0.03569004446372301,-0.020481248510993484,1.530862983598099,-0.04844696050355783,0.06521720580412997,0.0,429.8580012840311,430.000381103739,431.42684648276787,428.8341315720833
0.7200000000000003,-0.00674695924049536,-0.005420287997907346,10.674952714332353,6.2739747046814855,0.023720918260945467,0.0,-0.05119489862200548,-0.026095393623913735,1.6724097463438816,-0.027715363875502455,0.05818106111216153,0.0,451.92906710036016,451.36442686513357,451.9886405810365,453.6553071330522
0.7800000000000004,-0.010261009353952634,-0.007158829140065868,10.775785734580214,6.272112810246396,0.02729289041760463,0.0,-0.0662561091203479,-0.032012700682340134,1.6886568327874116,-0.03866098104382994,0.0621068924945334,0.0,412.5695142569045,412.9187531665973,412.4930223712242,411.5249185412629
0.8400000000000004,-0.014981704030767241,-0.009385073934559514,10.886063236767475,6.270231439918783,0.030530388600801928,0.0,-0.09155729317643599,-0.04246179575648239,1.986773174484258,-0.019734134548246136,0.027942310043472973,0.0,499.31297612595154,496.81591647693267,498.3902555841466,499.77127589118123
0.9000000000000005,-0.021054006980388378,-0.012179698553152095,11.006373680829089,6.269323649358158,0.03211961325201518,0.0,-0.1110024171000014,-0.05078714991450736,2.023503174978457,-0.007225547883934989,0.023405536191085104,0.0,421.3374041490431,420.94520585484366,419.13658216439,420.22230138892076
0.9600000000000005,-0.02837245187082091,-0.015510287490260136,11.130447284565271,6.268891762100861,0.03330069958362092,0.0,-0.13307183182683344,-0.06027364817317462,2.112117398980161,-0.007143321969759207,0.010951353624154787,0.0,438.1381058861356,437.10146820139465,437.2056247014386,437.2125856083998
1.0200000000000005,-0.03697639666657064,-0.019392371774381304,11.25804189789489,6.2678870260722235,0.03395003961879084,0.0,-0.1537847339839494,-0.069176404599425,2.1409782889423727,-0.0551587062714988,0.010563039996141313,0.0,417.6668763325376,417.6328932690523,421.08932603229897,416.9149015909443
1.0800000000000005,-0.04695598180432453,-0.023894125371752364,11.390906030510903,6.26452317077942,0.03411177083145134,0.0,-0.1789118630414559,-0.08124071933225464,2.2875341991888,-0.05793901800937974,-0.021731850137803287,0.0,457.29582422086725,454.71616161081965,456.04161918388843,455.81744413085295
